YEAR,PCT_NONSOV_CARPOOL,PCT_NONSOV_TRANSIT,PCT_NONSOV_BIKE,PCT_NONSOV_WALK,PCT_NONSOV_HOME,PCT_NONSOV_TOTAL,ACTUAL_OR_TARGET
2012,8.754968865894996,12.124512197029757,0.7453109600426728,3.3996202037859518,4.45273969526476,29.477151922018134,Actual
2013,8.168361675124057,12.865833130028676,0.6264607720028179,3.29889323353089,4.542120945629565,29.501669756316005,Actual
2014,7.794731469870454,13.0622057620727,0.704317171573814,3.3130948139479552,4.706259912286927,29.58060912975185,Actual
2015,7.624106378524606,13.129452643125589,0.7549223015366493,3.2969541367903394,4.837217831992007,29.64265329196919,Actual
2016,7.571036363745592,13.062712892819167,0.784418798848952,3.226346744204209,5.2866265762329006,29.93114137585082,Actual
2017,7.639341716197247,13.435178160747888,0.7446611511006243,3.089513455392611,5.247824139063947,30.156518622502315,Actual
2018,8.214494588732299,13.300546804910457,0.7268965934943654,2.9174284838229783,5.616579791120146,30.775946262080247,Actual
2019,7.4480350045217705,13.5921492149097,0.6447208469566181,3.2127567004158615,5.950627211511592,30.84828897831554,Actual
2021,7.438558026382647,5.303996621975164,0.6248175054281844,2.7876998719580275,22.792227322922635,38.94729934866666,Actual
2022,7.954511276782123,7.744728165450451,0.6470897292745189,2.7491738380158575,18.314032723157723,37.40953573268067,Actual
