YEAR,PCT_BRIDGE_AREA_POOR,ACTUAL_OR_TARGET
1992,23.50,Actual
1993,22.90,Actual
1994,25.70,Actual
1995,22.50,Actual
1996,21.00,Actual
1997,23.10,Actual
1998,22.20,Actual
1999,20.40,Actual
2000,19.80,Actual
2001,18.50,Actual
2002,18.80,Actual
2003,17.40,Actual
2004,13.80,Actual
2005,13.00,Actual
2006,11.20,Actual
2007,11.70,Actual
2008,12.20,Actual
2009,11.80,Actual
2010,11.70,Actual
2011,10.80,Actual
2012,10.80,Actual
2013,10.70,Actual
2014,9.30,Actual
2015,9.50,Actual
2016,10.60,Actual
2017,10.50,Actual
2018,12.60,Actual
2019,14.10,Actual
2020,14.20,Actual
2025,12.33,Target
2050,3.00,Target
