YEAR,PATENTS_CHI,PATENTS_USA,PCT_PATENTS_CHI,ACTUAL_OR_TARGET
2000,3101,85068,3.645,Actual
2001,2981,87600,3.403,Actual
2002,2772,86971,3.187,Actual
2003,2616,87893,2.976,Actual
2004,2562,84270,3.040,Actual
2005,2246,74637,3.009,Actual
2006,2689,89823,2.994,Actual
2007,2314,79526,2.910,Actual
2008,2192,77502,2.828,Actual
2009,2312,82382,2.806,Actual
2010,2933,107791,2.721,Actual
2011,3033,108622,2.792,Actual
2012,3503,121026,2.894,Actual
2013,3766,133593,2.819,Actual
2014,4062,144621,2.809,Actual
2015,3909,140969,2.773,Actual
2016,3826,143701,2.662,Actual
2017,4077,151047,2.699,Actual
2018,3601,142006,2.536,Actual
2019,4350,166339,2.615,Actual
2020,4051,163947,2.471,Actual
2025,,,2.900,Target
2050,,,3.700,Target
