YEAR,PCT_UNEMPLOYED_ALL,PCT_UNEMPLOYED_BLACK,PCT_UNEMPLOYED_ASIAN,PCT_UNEMPLOYED_HISPANIC,PCT_UNEMPLOYED_WHITE,ACTUAL_OR_TARGET
2005,8,17.6,5.9,9.3,5.2,Actual
2006,7.5,16.5,5.8,8,5.2,Actual
2007,7.2,15.6,4.5,7.8,5,Actual
2008,7.1,14.7,5.1,7.3,5.2,Actual
2009,11.3,20.4,8.1,12.5,8.8,Actual
2010,12.2,22.3,8.2,13.2,9.6,Actual
2011,11.7,21.9,7.6,13.2,9,Actual
2012,10.8,22.9,6.6,12,7.6,Actual
2013,9.8,21.4,6.5,10.6,6.8,Actual
2014,8.4,18.5,6.4,8.6,5.8,Actual
2015,7.1,16.1,5.7,7.6,4.7,Actual
2016,6.3,14.3,4.8,6.8,4.1,Actual
2017,6.2,15.1,3.8,6,4.1,Actual
2018,5.7,12.9,3.6,6.3,3.6,Actual
2019,4.9,10.2,3.1,5,3.7,Actual
2020,7.9,15.6,6.4,7.7,6,Actual
2021,7.6,16.6,5.4,7.1,5.7,Actual
2022,4.9,10.8,3,5.4,3.3,Actual
