YEAR,UNLINKED_TRANSIT_TRIPS,ACTUAL_OR_TARGET
1997,543931884,Actual
1998,554490534,Actual
1999,576719317,Actual
2000,590029365,Actual
2001,593369820,Actual
2002,589733671,Actual
2003,576228495,Actual
2004,576799382,Actual
2005,597724370,Actual
2006,604896529,Actual
2007,613308560,Actual
2008,643778917,Actual
2009,628135832,Actual
2010,622485914,Actual
2011,641388305,Actual
2012,658906590,Actual
2013,642656074,Actual
2014,627461704,Actual
2015,625884890,Actual
2016,605279959,Actual
2017,585513381,Actual
2018,570777673,Actual
2019,549729675,Actual
2025,766000000,Target
2050,1210000000,Target
