YEAR,DEEP_BEDROCK_MGD,ACTUAL_OR_TARGET
1980,162.325,Actual
1981,158.830,Actual
1982,159.649,Actual
1983,158.489,Actual
1984,153.846,Actual
1985,143.195,Actual
1986,122.164,Actual
1987,105.511,Actual
1988,111.793,Actual
1989,97.758,Actual
1990,103.439,Actual
1991,107.758,Actual
1992,75.818,Actual
1993,54.385,Actual
1994,58.452,Actual
1995,55.039,Actual
1996,59.748,Actual
1997,56.353,Actual
1998,51.555,Actual
1999,57.633,Actual
2000,63.653,Actual
2001,67.069,Actual
2002,72.564,Actual
2003,74.653,Actual
2004,75.981,Actual
2005,83.331,Actual
2006,80.550,Actual
2007,79.712,Actual
2008,80.941,Actual
2009,69.261,Actual
2010,75.807,Actual
2011,74.642,Actual
2012,80.406,Actual
2013,77.795,Actual
